# BCCA_0-125deg_pr_day_ACCESS1-0_rcp45_r1i1p1
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
2006-01-01T12:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.024918E-4,0.0,0.0,0.0,0.0,0.0,1.287054E-4,0.0,0.0,0.0,0.0,0.0
2006-01-02T12:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029715862,0.0,0.0,0.027858302,0.0,0.0,0.1,0.0,0.1,0.07762407,0.0,0.0
2006-01-03T12:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030877123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3927677E-4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.14073339,0.0,0.0036528353,0.2,0.0,0.0,0.0,0.101005964,0.2,0.0,0.2,0.0,0.0,0.2,0.00703079,0.0,0.0,0.0,0.0,0.0,0.17802091,0.16370657,0.014295065,0.028952131,7.142675E-4,0.0,0.0,0.0,0.0,0.025820991,0.0
2006-01-04T12:00:00Z,2.5,2.5,2.5805242,2.5055578,2.859841,3.0005744,2.9176648,3.0233736,3.2,3.1416225,3.2,3.0620108,3.0,3.045923,3.2,3.2,3.1997528,3.1000001,3.1251752,2.7294753,3.4,2.9189522,3.3195355,3.2695441,3.4,3.4,3.7,3.1000001,3.4,3.4,3.4,2.4,2.8789725,3.7,3.4,3.4,3.4,3.4,3.4,3.1165035,3.6083999,3.10958,3.4054794,3.7,3.1000001,3.1865196,3.070939,3.3815026,3.2662332,3.1880128,2.9978733,2.9944248,2.8,2.9,3.0929694,3.0693874,2.8373613,3.1000001,2.9060507,3.0132382,2.8450525,2.8412,2.961209,2.4723804,2.4017859,2.8005147,2.4,2.8,2.7104962,2.3483582,2.4
2006-01-05T12:00:00Z,0.3,0.3,0.38052413,0.30555773,0.6598412,0.80057424,0.71766466,0.91168684,1.0,0.945391,1.0,0.83028847,0.90000004,0.9229615,1.0,1.0,0.9995055,0.8,0.95299304,0.9450875,0.8,0.883183,0.87976813,0.9277792,0.8,0.8,1.3000001,0.8,0.8,0.8,0.8,1.0,0.8631508,1.3000001,0.8,0.8,0.8,0.8,0.8,0.8,1.1512531,0.8,0.8091321,1.3000001,0.90000004,0.80800146,0.8930299,1.0332773,1.1915584,0.87066245,1.1244683,0.93519175,1.0,1.1,0.9070308,0.91020423,0.98754627,0.90000004,0.9646498,0.78234965,1.0340627,1.0093675,0.77947843,0.58685637,0.5021428,0.50025743,0.5,0.5,0.5,0.680747,0.5
2006-01-06T12:00:00Z,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09975276,0.0,0.09360365,0.1,0.1,0.044396814,0.1,0.09910777,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.031575378,0.1,0.1,0.1,0.1,0.1,0.1,0.0055011394,0.1,0.0031933011,0.1,0.1,0.0,0.032840576,0.033401843,0.08670633,0.1,0.029337581,0.1,3.462314E-4,0.0,0.1,0.003515395,0.0,0.0,0.0,0.0,0.0,0.089010455,0.081853285,0.0071475324,0.0144760655,3.5713374E-4,0.0,0.0,0.0,0.0,0.051641982,0.0
2006-01-07T12:00:00Z,0.6,0.6,0.5194759,0.59761816,0.44627097,0.3854682,0.43052784,0.4116868,0.3,0.48606342,0.33073345,0.36475676,0.4,0.42296147,0.3,0.5,0.4531429,1.2,0.5105603,0.5803499,0.6,0.96394545,0.47986037,0.4136856,0.6,0.6,0.6,1.2,0.6,0.6,0.6,0.8,1.0736985,0.6,0.6,0.6,0.6,0.6,0.6,1.1669933,0.598228,1.1808403,0.6,0.6,0.90000004,0.9909544,0.84976566,0.6886781,0.7626626,0.8119873,0.8632976,0.89896137,0.90000004,0.90000004,0.90000004,0.90000004,0.90000004,0.90000004,0.90000004,0.72290987,0.8450523,0.8320761,0.7036209,0.47238034,0.40178567,0.3002574,0.4,0.3,0.32237595,0.47746298,0.4
2006-01-08T12:00:00Z,3.9,3.9,3.738952,3.8849149,2.972569,2.5412986,2.9580972,2.4766264,2.0,2.4295542,2.0461001,2.467223,2.5,2.454077,2.0,2.3,2.2266238,2.1000001,2.3556356,2.0040376,2.2,1.9590137,2.1209283,2.07133,2.2,2.2,3.2,2.1000001,2.2,2.2,2.2,1.4,1.8789724,3.2,2.2,2.2,2.2,2.2,2.2,2.1055012,2.903336,2.1031935,2.2182643,3.2,4.1,2.2008529,3.0029573,3.2178605,4.067534,3.5425858,4.604254,3.9868076,3.8,4.8,4.1246076,4.0693874,3.8373613,4.1,3.9060507,5.5626802,5.2835402,5.3657975,5.8132286,8.563053,9.184286,9.001416,9.2,9.0,9.044752,8.735222,9.2
2006-01-09T12:00:00Z,0.1,0.1,0.1,0.09920604,0.05300756,0.028489398,0.05646707,0.08831321,0.0,0.013936588,0.0,0.011011452,0.1,0.077038534,0.0,0.0,2.472387E-4,0.1,0.0406106,0.14508748,0.0,0.114769645,0.0,8.9223107E-4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.13157538,0.0,0.0,0.0,0.0,0.0,0.0,0.094498865,0.0,0.0968067,0.0,0.0,0.1,0.06715943,0.066598155,0.029559357,0.05422085,0.070662424,0.08776584,0.09965377,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.18794261,0.15494771,0.16792396,0.21280423,0.5276197,0.5982143,0.3997426,0.6,0.4,0.4447519,0.677463,0.6
